"001344209";"Reynolds Metals Company, LLC";"080362431";"Alcoa Corporation";"080362431";"Alcoa Corporation"
"002943975";"Extrude Hone LLC";"079973581";"Madison Industries Holdings LLC";"079973581";"Madison Industries Holdings LLC"
"005162417";"Clarcor Inc.";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"002217982";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"020848917";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"150948974";"Bha Group Holdings, Inc.";"005162417";"Clarcor Inc.";"004175550";"Parker-Hannifin Corporation"
"212796387";"DOMNICK HUNTER LIMITED";"504346974";"DOMNICK HUNTER GROUP LIMITED";"004175550";"Parker-Hannifin Corporation"
"332923002";"Parker Hannifin GmbH & Co. KG";"333717937";"Parker Hannifin GmbH";"004175550";"Parker-Hannifin Corporation"
"332934272";"Parker Hannifin GmbH & Co. KG";"333717937";"Parker Hannifin GmbH";"004175550";"Parker-Hannifin Corporation"
"370192965";"Advanced Products NV";"400842226";"Parker Hannifin Manufacturing Holding Belgium SPRL";"004175550";"Parker-Hannifin Corporation"
"461039000";"FACET IBERICA SA";"006512669";"Clarcor Air Filtration Products, Inc";"004175550";"Parker-Hannifin Corporation"
"462087933";"PARKER HANNIFIN ESPANA SA";"629938874";"PARKER HANNIFIN ITALY SRL";"004175550";"Parker-Hannifin Corporation"
"504346974";"Domnick Hunter Group Ltd";"735441946";"PARKER HANNIFIN MANUFACTURING LIMITED";"004175550";"Parker-Hannifin Corporation"
"629938874";"PARKER HANNIFIN ITALY SRL";"480146821";"Parker Hannifin EMEA Sàrl";"004175550";"Parker-Hannifin Corporation"
"812510717";"Total Filtration Services de México, S. de R.L. de C.V.";"611266503";"Total Filtration Services Inc";"004175550";"Parker-Hannifin Corporation"
"858593866";"Parker-Hannifin International Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"134582824";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"611266503";"TOTAL FILTRATION SERVICES, INC.";"005162417";"Clarcor Inc.";"004175550";"Parker-Hannifin Corporation"
"361253511";"Purolator Products Air Filtration Company";"005162417";"Clarcor Inc.";"004175550";"Parker-Hannifin Corporation"
"811703487";"Parker Hannifin de México, S.A. de C.V.";"812311918";"Parker Hannifin de México, S.A. de C.V.";"004175550";"Parker-Hannifin Corporation"
"812561587";"Parker Hannifin de México, S.A. de C.V.";"812311918";"Parker Hannifin de México, S.A. de C.V.";"004175550";"Parker-Hannifin Corporation"
"403451099";"Parker Hannifin B.V.";"400848257";"Parker Hannifin Holding Emea SARL";"004175550";"Parker-Hannifin Corporation"
"812311918";"Parker Hannifin de México, S.A. de C.V.";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"899705008";"Parker Hannifin Indústria e Comércio Ltda.";"370227218";"Parker Hannifin Luxembourg Investments 1 SARL";"004175550";"Parker-Hannifin Corporation"
"342140261";"Parker Hannifin Holding GmbH";"480146821";"Parker Hannifin EMEA Sàrl";"004175550";"Parker-Hannifin Corporation"
"440557333";"PARKER ITR SRL";"430728941";"PARKER HANNIFIN MANUFACTURING HOLDING ITALY SRL";"004175550";"Parker-Hannifin Corporation"
"907154509";"Parker Hannifin Ind. e Com. Ltda - Divis";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"907152529";"Parker Hannifin Ind. e Com. Ltda - Div Climate";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"907154504";"Parker Hannifin Ind. e Com. - Divs";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"907154517";"Parker Hannifin Ind. e Com. Ltda - Divis";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"588155676";"Parker Hannifin de Mexico, S.A. de C.V.";"812311918";"Parker Hannifin de México, S.A. de C.V.";"004175550";"Parker-Hannifin Corporation"
"907154512";"Parker Hannifin Ind. e Com. Ltda - Divis";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"008370645";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"106696227";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"056825607";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"013376426";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"162773092";"Em Clarcor Holdings Inc";"005162417";"Clarcor Inc.";"004175550";"Parker-Hannifin Corporation"
"045492790";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"046117453";"PARKER HANNIFIN CORPORATION";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"333562655";"Parker Hannifin GmbH";"333717937";"Parker Hannifin GmbH";"004175550";"Parker-Hannifin Corporation"
"495035730";"dh group, s.r.o.";"342140261";"Parker Hannifin Holding GmbH";"004175550";"Parker-Hannifin Corporation"
"495009735";"Parker Hannifin Industrial s.r.o.";"360593073";"Parker Hannifin Manufacturing Holding Czech Republic s.r.o.";"004175550";"Parker-Hannifin Corporation"
"810593640";"Parker Seal de México S.A.";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"407082713";"Parker Filtration and Separation B.V.";"490126606";"Parker Hannifin VAS Netherlands B.V.";"004175550";"Parker-Hannifin Corporation"
"481547990";"Parker Lucifer SA";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"812617934";"Parker Hannifin de México, S.A. de C.V.";"812311918";"Parker Hannifin de México, S.A. de C.V.";"004175550";"Parker-Hannifin Corporation"
"216341073";"PARKER HANNIFIN (GB) LIMITED";"216207761";"ALENCO (HOLDINGS) LIMITED";"004175550";"Parker-Hannifin Corporation"
"239331213";"PARKER HANNIFIN (HOLDINGS) LIMITED";"243798035";"Parker Ontario Holding Inc";"004175550";"Parker-Hannifin Corporation"
"278963244";"PARKER HANNIFIN FRANCE HOLDING";"400848257";"Parker Hannifin Holding Emea SARL";"004175550";"Parker-Hannifin Corporation"
"216207761";"ALENCO (HOLDINGS) LIMITED";"239331213";"PARKER HANNIFIN (HOLDINGS) LIMITED";"004175550";"Parker-Hannifin Corporation"
"333717937";"Parker Hannifin GmbH";"342140261";"Parker Hannifin Holding GmbH";"004175550";"Parker-Hannifin Corporation"
"333928898";"Parker Hannifin Verwaltungs-GmbH";"333717937";"Parker Hannifin GmbH";"004175550";"Parker-Hannifin Corporation"
"386770783";"Parker Hannifin Netherlands Holdings B.V.";"400103383";"Parker Hannifin Global Capital Management SARL";"004175550";"Parker-Hannifin Corporation"
"735441946";"PARKER HANNIFIN MANUFACTURING LTD";"216341073";"PARKER HANNIFIN (GB) LIMITED";"004175550";"Parker-Hannifin Corporation"
"527663595";"Parker Hannifin Motion & Control ( Shanghai ) Co., Ltd";"662533520";"PARKER-HANNIFIN HONG KONG, LIMITED";"004175550";"Parker-Hannifin Corporation"
"152321097";"Parker Hannifin Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"360593073";"LEGRIS, S.R.O.";"342140261";"Parker Hannifin Holding GmbH";"004175550";"Parker-Hannifin Corporation"
"970424362";"PARKER HANNIFIN ARGENTINA S.A.I.y.C.";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"875676884";"Parker Hannifin Partner I Gp";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"876327628";"Parker-Hannifin, Corporation";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
"754224298";"PARKER HANNIFIN AUSTRALIA ASSETS PTY LIMITED";"754199982";"PARKER HANNIFIN AUSTRALIA HOLDING PTY LIMITED";"004175550";"Parker-Hannifin Corporation"
"914632463";"Parker Hannifin Indústria e Comércio Ltda.";"899705008";"Parker Hannifin Indústria e Comércio Ltda";"004175550";"Parker-Hannifin Corporation"
"595196510";"RAYCO TECHNOLOGIES PTE LTD";"595281981";"PARKER HANNIFIN SINGAPORE PRIVATE LIMITED";"004175550";"Parker-Hannifin Corporation"
"595281981";"PARKER HANNIFIN SINGAPORE PRIVATE LIMITED";"754224298";"PARKER HANNIFIN AUSTRALIA ASSETS PTY LIMITED";"004175550";"Parker-Hannifin Corporation"
"662533520";"Parker-Hannifin Hong Kong, Limited";"004175550";"Parker-Hannifin Corporation";"004175550";"Parker-Hannifin Corporation"
